ID,Species,yday,Hour,Day,Mass,deltaM,Temp,RH,VPD,gwc,WP,Rad_weighted,Shoot,Leaf,deltaM.Leaf,deltaM.Shoot,Batch,Group
Acaexu1,Acaexu,270,3,4,5635.291667,0.15,23.4,97.14166667,0.082266557,0.051724976,-0.726245925,797.4169494,6.0147,2.924,0.05129959,0.0249389,14,Tree
Acaexu1,Acaexu,271,15,5,5506.591667,5.016666667,25.975,69.98333333,1.007486019,0.034820273,-0.919176965,797.4169494,6.0147,2.924,1.715686275,0.834067645,14,Tree
Acaexu1,Acaexu,267,22,1,5844.891667,0.183333333,23.44166667,92.56666667,0.214534084,0.079255866,-0.56208546,797.4169494,6.0147,2.924,0.062699498,0.030480877,14,Tree
Acaexu1,Acaexu,267,11,1,5906.091667,6.75,25.55833333,73.63333333,0.863347587,0.087294466,-0.529373612,797.4169494,6.0147,2.924,2.308481532,1.122250486,14,Tree
Acaexu1,Acaexu,270,17,4,5563.833333,7,26.23333333,70.475,1.006228647,0.042338947,-0.817795462,797.4169494,6.0147,2.924,2.393980848,1.163815319,14,Tree
Acaexu1,Acaexu,268,5,2,5844.083333,0.1,23.4,97.625,0.068355594,0.079149692,-0.562549029,797.4169494,6.0147,2.924,0.034199726,0.016625933,14,Tree
Acaexu1,Acaexu,273,0,7,5443.425,0.233333333,23.5,95.04166667,0.143570067,0.026523353,-1.085828342,797.4169494,6.0147,2.924,0.079799362,0.038793844,14,Tree
Acaexu1,Acaexu,269,8,3,5740.308333,2.975,25.96666667,96.73333333,0.110867951,0.06551888,-0.630893483,797.4169494,6.0147,2.924,1.01744186,0.494621511,14,Tree
Acaexu1,Acaexu,268,12,2,5811.858333,8.15,25.70833333,72.69166667,0.902157153,0.074916949,-0.581797793,797.4169494,6.0147,2.924,2.787277702,1.35501355,14,Tree
Acaexu1,Acaexu,271,8,5,5544.075,2.125,26.05,96.35833333,0.12361784,0.039743697,-0.849172341,797.4169494,6.0147,2.924,0.726744186,0.353301079,14,Tree
Acaexu1,Acaexu,269,13,3,5696.608333,8.958333333,25.83333333,72.23333333,0.924201267,0.0597789,-0.666434715,797.4169494,6.0147,2.924,3.06372549,1.48940651,14,Tree
Acaexu1,Acaexu,270,16,4,5570.833333,7.175,26.20833333,70.44166667,1.005886417,0.043258395,-0.807424573,797.4169494,6.0147,2.924,2.453830369,1.192910702,14,Tree
